activity_id,activity_name,industry,target_audience,objective,platform_set,activity_time,location,key_selling_points,speaker,signup_method,tone_hint,constraints,reference_case,expected_output_count
A016,客户服务新品发布会016,客户服务,企业老板和业务负责人,提升报名转化,公众号;小红书;朋友圈;抖音,2026-03-16 19:30,线上直播,客户服务真实案例拆解；现场产出MVP需求包；提供可复用模板；第1类业务场景演示,林老师 AI产品顾问,私信领取报名链接,专业可信,不得使用绝对化用语,C004,4
A017,数据分析客户增长课017,数据分析,产品经理和项目经理,获取销售线索,公众号;朋友圈,2026-03-17 20:30,线下沙龙,数据分析真实案例拆解；现场产出MVP需求包；提供可复用模板；第2类业务场景演示,陈老师 增长顾问,扫码填写报名表,年轻化种草,避免夸大收益,C005,3
A018,智能制造公开课018,智能制造,财务负责人,邀请试用体验,小红书;抖音,2026-03-18 21:30,线上直播 + 课后实操,智能制造真实案例拆解；现场产出MVP需求包；提供可复用模板；第3类业务场景演示,周老师 财务数字化顾问,点击落地页预约,直接有行动号召,不承诺录用或成交结果,C006,3
A019,教育培训训练营019,教育培训,销售管理者,促进社群活跃,公众号;小红书;朋友圈,2026-03-19 19:30,企业微信社群直播,教育培训真实案例拆解；现场产出MVP需求包；提供可复用模板；第4类业务场景演示,顾老师 产品负责人,社群接龙报名,老板视角,价格待确认需标记,C007,3
A020,SaaS增长行业报告解读020,SaaS增长,教育机构负责人,提升品牌认知,朋友圈;抖音,2026-03-20 20:30,视频号直播,SaaS增长真实案例拆解；现场产出MVP需求包；提供可复用模板；第5类业务场景演示,何老师 组织发展顾问,私信领取报名链接,实战接地气,不得使用绝对化用语,C008,3
A021,企业AI实战营021,企业AI,企业老板和业务负责人,提升报名转化,公众号;小红书;朋友圈;抖音,2026-03-21 21:30,线上直播,企业AI真实案例拆解；现场产出MVP需求包；提供可复用模板；第1类业务场景演示,林老师 AI产品顾问,扫码填写报名表,专业可信,避免夸大收益,C009,4
A022,新零售案例拆解会022,新零售,产品经理和项目经理,获取销售线索,公众号;朋友圈,2026-03-22 19:30,线下沙龙,新零售真实案例拆解；现场产出MVP需求包；提供可复用模板；第2类业务场景演示,陈老师 增长顾问,点击落地页预约,年轻化种草,不承诺录用或成交结果,C010,3
A023,财务数字化私享会023,财务数字化,财务负责人,邀请试用体验,小红书;抖音,2026-03-23 20:30,线上直播 + 课后实操,财务数字化真实案例拆解；现场产出MVP需求包；提供可复用模板；第3类业务场景演示,周老师 财务数字化顾问,社群接龙报名,直接有行动号召,价格待确认需标记,C011,3
A024,HR招聘工作坊024,HR招聘,销售管理者,促进社群活跃,公众号;小红书;朋友圈,2026-03-24 21:30,企业微信社群直播,HR招聘真实案例拆解；现场产出MVP需求包；提供可复用模板；第4类业务场景演示,顾老师 产品负责人,私信领取报名链接,老板视角,不得使用绝对化用语,C012,3
A025,产品管理线下沙龙025,产品管理,教育机构负责人,提升品牌认知,朋友圈;抖音,2026-03-25 19:30,视频号直播,产品管理真实案例拆解；现场产出MVP需求包；提供可复用模板；第5类业务场景演示,何老师 组织发展顾问,扫码填写报名表,实战接地气,避免夸大收益,C001,3
A026,客户服务新品发布会026,客户服务,企业老板和业务负责人,提升报名转化,公众号;小红书;朋友圈;抖音,2026-03-26 20:30,线上直播,客户服务真实案例拆解；现场产出MVP需求包；提供可复用模板；第1类业务场景演示,林老师 AI产品顾问,点击落地页预约,专业可信,不承诺录用或成交结果,C002,4
A027,数据分析客户增长课027,数据分析,产品经理和项目经理,获取销售线索,公众号;朋友圈,2026-03-27 21:30,线下沙龙,数据分析真实案例拆解；现场产出MVP需求包；提供可复用模板；第2类业务场景演示,陈老师 增长顾问,社群接龙报名,年轻化种草,价格待确认需标记,C003,3
A028,智能制造公开课028,智能制造,财务负责人,邀请试用体验,小红书;抖音,2026-03-28 19:30,线上直播 + 课后实操,智能制造真实案例拆解；现场产出MVP需求包；提供可复用模板；第3类业务场景演示,周老师 财务数字化顾问,私信领取报名链接,直接有行动号召,不得使用绝对化用语,C004,3
A029,教育培训训练营029,教育培训,销售管理者,促进社群活跃,公众号;小红书;朋友圈,2026-03-29 20:30,企业微信社群直播,教育培训真实案例拆解；现场产出MVP需求包；提供可复用模板；第4类业务场景演示,顾老师 产品负责人,扫码填写报名表,老板视角,避免夸大收益,C005,3
A030,SaaS增长行业报告解读030,SaaS增长,教育机构负责人,提升品牌认知,朋友圈;抖音,2026-03-30 21:30,视频号直播,SaaS增长真实案例拆解；现场产出MVP需求包；提供可复用模板；第5类业务场景演示,何老师 组织发展顾问,点击落地页预约,实战接地气,不承诺录用或成交结果,C006,3
A031,企业AI实战营031,企业AI,企业老板和业务负责人,提升报名转化,公众号;小红书;朋友圈;抖音,2026-03-31 19:30,线上直播,企业AI真实案例拆解；现场产出MVP需求包；提供可复用模板；第1类业务场景演示,林老师 AI产品顾问,社群接龙报名,专业可信,价格待确认需标记,C007,4
A032,新零售案例拆解会032,新零售,产品经理和项目经理,获取销售线索,公众号;朋友圈,2026-04-01 20:30,线下沙龙,新零售真实案例拆解；现场产出MVP需求包；提供可复用模板；第2类业务场景演示,陈老师 增长顾问,私信领取报名链接,年轻化种草,不得使用绝对化用语,C008,3
A033,财务数字化私享会033,财务数字化,财务负责人,邀请试用体验,小红书;抖音,2026-04-02 21:30,线上直播 + 课后实操,财务数字化真实案例拆解；现场产出MVP需求包；提供可复用模板；第3类业务场景演示,周老师 财务数字化顾问,扫码填写报名表,直接有行动号召,避免夸大收益,C009,3
A034,HR招聘工作坊034,HR招聘,销售管理者,促进社群活跃,公众号;小红书;朋友圈,2026-04-03 19:30,企业微信社群直播,HR招聘真实案例拆解；现场产出MVP需求包；提供可复用模板；第4类业务场景演示,顾老师 产品负责人,点击落地页预约,老板视角,不承诺录用或成交结果,C010,3
A035,产品管理线下沙龙035,产品管理,教育机构负责人,提升品牌认知,朋友圈;抖音,2026-04-04 20:30,视频号直播,产品管理真实案例拆解；现场产出MVP需求包；提供可复用模板；第5类业务场景演示,何老师 组织发展顾问,社群接龙报名,实战接地气,价格待确认需标记,C011,3
A036,客户服务新品发布会036,客户服务,企业老板和业务负责人,提升报名转化,公众号;小红书;朋友圈;抖音,2026-04-05 21:30,线上直播,客户服务真实案例拆解；现场产出MVP需求包；提供可复用模板；第1类业务场景演示,林老师 AI产品顾问,私信领取报名链接,专业可信,不得使用绝对化用语,C012,4
A037,数据分析客户增长课037,数据分析,产品经理和项目经理,获取销售线索,公众号;朋友圈,2026-04-06 19:30,线下沙龙,数据分析真实案例拆解；现场产出MVP需求包；提供可复用模板；第2类业务场景演示,陈老师 增长顾问,扫码填写报名表,年轻化种草,避免夸大收益,C001,3
A038,智能制造公开课038,智能制造,财务负责人,邀请试用体验,小红书;抖音,2026-04-07 20:30,线上直播 + 课后实操,智能制造真实案例拆解；现场产出MVP需求包；提供可复用模板；第3类业务场景演示,周老师 财务数字化顾问,点击落地页预约,直接有行动号召,不承诺录用或成交结果,C002,3
A039,教育培训训练营039,教育培训,销售管理者,促进社群活跃,公众号;小红书;朋友圈,2026-04-08 21:30,企业微信社群直播,教育培训真实案例拆解；现场产出MVP需求包；提供可复用模板；第4类业务场景演示,顾老师 产品负责人,社群接龙报名,老板视角,价格待确认需标记,C003,3
A040,SaaS增长行业报告解读040,SaaS增长,教育机构负责人,提升品牌认知,朋友圈;抖音,2026-04-09 19:30,视频号直播,SaaS增长真实案例拆解；现场产出MVP需求包；提供可复用模板；第5类业务场景演示,何老师 组织发展顾问,私信领取报名链接,实战接地气,不得使用绝对化用语,C004,3
A041,企业AI实战营041,企业AI,企业老板和业务负责人,提升报名转化,公众号;小红书;朋友圈;抖音,2026-04-10 20:30,线上直播,企业AI真实案例拆解；现场产出MVP需求包；提供可复用模板；第1类业务场景演示,林老师 AI产品顾问,扫码填写报名表,专业可信,避免夸大收益,C005,4
A042,新零售案例拆解会042,新零售,产品经理和项目经理,获取销售线索,公众号;朋友圈,2026-04-11 21:30,线下沙龙,新零售真实案例拆解；现场产出MVP需求包；提供可复用模板；第2类业务场景演示,陈老师 增长顾问,点击落地页预约,年轻化种草,不承诺录用或成交结果,C006,3
A043,财务数字化私享会043,财务数字化,财务负责人,邀请试用体验,小红书;抖音,2026-04-12 19:30,线上直播 + 课后实操,财务数字化真实案例拆解；现场产出MVP需求包；提供可复用模板；第3类业务场景演示,周老师 财务数字化顾问,社群接龙报名,直接有行动号召,价格待确认需标记,C007,3
A044,HR招聘工作坊044,HR招聘,销售管理者,促进社群活跃,公众号;小红书;朋友圈,2026-04-13 20:30,企业微信社群直播,HR招聘真实案例拆解；现场产出MVP需求包；提供可复用模板；第4类业务场景演示,顾老师 产品负责人,私信领取报名链接,老板视角,不得使用绝对化用语,C008,3
A045,产品管理线下沙龙045,产品管理,教育机构负责人,提升品牌认知,朋友圈;抖音,2026-04-14 21:30,视频号直播,产品管理真实案例拆解；现场产出MVP需求包；提供可复用模板；第5类业务场景演示,何老师 组织发展顾问,扫码填写报名表,实战接地气,避免夸大收益,C009,3
A046,客户服务新品发布会046,客户服务,企业老板和业务负责人,提升报名转化,公众号;小红书;朋友圈;抖音,2026-04-15 19:30,线上直播,客户服务真实案例拆解；现场产出MVP需求包；提供可复用模板；第1类业务场景演示,林老师 AI产品顾问,点击落地页预约,专业可信,不承诺录用或成交结果,C010,4
A047,数据分析客户增长课047,数据分析,产品经理和项目经理,获取销售线索,公众号;朋友圈,2026-04-16 20:30,线下沙龙,数据分析真实案例拆解；现场产出MVP需求包；提供可复用模板；第2类业务场景演示,陈老师 增长顾问,社群接龙报名,年轻化种草,价格待确认需标记,C011,3
A048,智能制造公开课048,智能制造,财务负责人,邀请试用体验,小红书;抖音,2026-04-17 21:30,线上直播 + 课后实操,智能制造真实案例拆解；现场产出MVP需求包；提供可复用模板；第3类业务场景演示,周老师 财务数字化顾问,私信领取报名链接,直接有行动号召,不得使用绝对化用语,C012,3
A049,教育培训训练营049,教育培训,销售管理者,促进社群活跃,公众号;小红书;朋友圈,2026-04-18 19:30,企业微信社群直播,教育培训真实案例拆解；现场产出MVP需求包；提供可复用模板；第4类业务场景演示,顾老师 产品负责人,扫码填写报名表,老板视角,避免夸大收益,C001,3
A050,SaaS增长行业报告解读050,SaaS增长,教育机构负责人,提升品牌认知,朋友圈;抖音,2026-04-19 20:30,视频号直播,SaaS增长真实案例拆解；现场产出MVP需求包；提供可复用模板；第5类业务场景演示,何老师 组织发展顾问,点击落地页预约,实战接地气,不承诺录用或成交结果,C002,3
A051,企业AI实战营051,企业AI,企业老板和业务负责人,提升报名转化,公众号;小红书;朋友圈;抖音,2026-04-20 21:30,线上直播,企业AI真实案例拆解；现场产出MVP需求包；提供可复用模板；第1类业务场景演示,林老师 AI产品顾问,社群接龙报名,专业可信,价格待确认需标记,C003,4
A052,新零售案例拆解会052,新零售,产品经理和项目经理,获取销售线索,公众号;朋友圈,2026-04-21 19:30,线下沙龙,新零售真实案例拆解；现场产出MVP需求包；提供可复用模板；第2类业务场景演示,陈老师 增长顾问,私信领取报名链接,年轻化种草,不得使用绝对化用语,C004,3
A053,财务数字化私享会053,财务数字化,财务负责人,邀请试用体验,小红书;抖音,2026-04-22 20:30,线上直播 + 课后实操,财务数字化真实案例拆解；现场产出MVP需求包；提供可复用模板；第3类业务场景演示,周老师 财务数字化顾问,扫码填写报名表,直接有行动号召,避免夸大收益,C005,3
A054,HR招聘工作坊054,HR招聘,销售管理者,促进社群活跃,公众号;小红书;朋友圈,2026-04-23 21:30,企业微信社群直播,HR招聘真实案例拆解；现场产出MVP需求包；提供可复用模板；第4类业务场景演示,顾老师 产品负责人,点击落地页预约,老板视角,不承诺录用或成交结果,C006,3
A055,产品管理线下沙龙055,产品管理,教育机构负责人,提升品牌认知,朋友圈;抖音,2026-04-24 19:30,视频号直播,产品管理真实案例拆解；现场产出MVP需求包；提供可复用模板；第5类业务场景演示,何老师 组织发展顾问,社群接龙报名,实战接地气,价格待确认需标记,C007,3
A056,客户服务新品发布会056,客户服务,企业老板和业务负责人,提升报名转化,公众号;小红书;朋友圈;抖音,2026-04-25 20:30,线上直播,客户服务真实案例拆解；现场产出MVP需求包；提供可复用模板；第1类业务场景演示,林老师 AI产品顾问,私信领取报名链接,专业可信,不得使用绝对化用语,C008,4
A057,数据分析客户增长课057,数据分析,产品经理和项目经理,获取销售线索,公众号;朋友圈,2026-04-26 21:30,线下沙龙,数据分析真实案例拆解；现场产出MVP需求包；提供可复用模板；第2类业务场景演示,陈老师 增长顾问,扫码填写报名表,年轻化种草,避免夸大收益,C009,3
A058,智能制造公开课058,智能制造,财务负责人,邀请试用体验,小红书;抖音,2026-04-27 19:30,线上直播 + 课后实操,智能制造真实案例拆解；现场产出MVP需求包；提供可复用模板；第3类业务场景演示,周老师 财务数字化顾问,点击落地页预约,直接有行动号召,不承诺录用或成交结果,C010,3
A059,教育培训训练营059,教育培训,销售管理者,促进社群活跃,公众号;小红书;朋友圈,2026-04-28 20:30,企业微信社群直播,教育培训真实案例拆解；现场产出MVP需求包；提供可复用模板；第4类业务场景演示,顾老师 产品负责人,社群接龙报名,老板视角,价格待确认需标记,C011,3
A060,SaaS增长行业报告解读060,SaaS增长,教育机构负责人,提升品牌认知,朋友圈;抖音,2026-04-29 21:30,视频号直播,SaaS增长真实案例拆解；现场产出MVP需求包；提供可复用模板；第5类业务场景演示,何老师 组织发展顾问,私信领取报名链接,实战接地气,不得使用绝对化用语,C012,3
A061,企业AI实战营061,企业AI,企业老板和业务负责人,提升报名转化,公众号;小红书;朋友圈;抖音,2026-04-30 19:30,线上直播,企业AI真实案例拆解；现场产出MVP需求包；提供可复用模板；第1类业务场景演示,林老师 AI产品顾问,扫码填写报名表,专业可信,避免夸大收益,C001,4
A062,新零售案例拆解会062,新零售,产品经理和项目经理,获取销售线索,公众号;朋友圈,2026-05-01 20:30,线下沙龙,新零售真实案例拆解；现场产出MVP需求包；提供可复用模板；第2类业务场景演示,陈老师 增长顾问,点击落地页预约,年轻化种草,不承诺录用或成交结果,C002,3
A063,财务数字化私享会063,财务数字化,财务负责人,邀请试用体验,小红书;抖音,2026-05-02 21:30,线上直播 + 课后实操,财务数字化真实案例拆解；现场产出MVP需求包；提供可复用模板；第3类业务场景演示,周老师 财务数字化顾问,社群接龙报名,直接有行动号召,价格待确认需标记,C003,3
A064,HR招聘工作坊064,HR招聘,销售管理者,促进社群活跃,公众号;小红书;朋友圈,2026-05-03 19:30,企业微信社群直播,HR招聘真实案例拆解；现场产出MVP需求包；提供可复用模板；第4类业务场景演示,顾老师 产品负责人,私信领取报名链接,老板视角,不得使用绝对化用语,C004,3
A065,产品管理线下沙龙065,产品管理,教育机构负责人,提升品牌认知,朋友圈;抖音,2026-05-04 20:30,视频号直播,产品管理真实案例拆解；现场产出MVP需求包；提供可复用模板；第5类业务场景演示,何老师 组织发展顾问,扫码填写报名表,实战接地气,避免夸大收益,C005,3
A066,客户服务新品发布会066,客户服务,企业老板和业务负责人,提升报名转化,公众号;小红书;朋友圈;抖音,2026-05-05 21:30,线上直播,客户服务真实案例拆解；现场产出MVP需求包；提供可复用模板；第1类业务场景演示,林老师 AI产品顾问,点击落地页预约,专业可信,不承诺录用或成交结果,C006,4
A067,数据分析客户增长课067,数据分析,产品经理和项目经理,获取销售线索,公众号;朋友圈,2026-05-06 19:30,线下沙龙,数据分析真实案例拆解；现场产出MVP需求包；提供可复用模板；第2类业务场景演示,陈老师 增长顾问,社群接龙报名,年轻化种草,价格待确认需标记,C007,3
A068,智能制造公开课068,智能制造,财务负责人,邀请试用体验,小红书;抖音,2026-05-07 20:30,线上直播 + 课后实操,智能制造真实案例拆解；现场产出MVP需求包；提供可复用模板；第3类业务场景演示,周老师 财务数字化顾问,私信领取报名链接,直接有行动号召,不得使用绝对化用语,C008,3
A069,教育培训训练营069,教育培训,销售管理者,促进社群活跃,公众号;小红书;朋友圈,2026-05-08 21:30,企业微信社群直播,教育培训真实案例拆解；现场产出MVP需求包；提供可复用模板；第4类业务场景演示,顾老师 产品负责人,扫码填写报名表,老板视角,避免夸大收益,C009,3
A070,SaaS增长行业报告解读070,SaaS增长,教育机构负责人,提升品牌认知,朋友圈;抖音,2026-05-09 19:30,视频号直播,SaaS增长真实案例拆解；现场产出MVP需求包；提供可复用模板；第5类业务场景演示,何老师 组织发展顾问,点击落地页预约,实战接地气,不承诺录用或成交结果,C010,3
A071,企业AI实战营071,企业AI,企业老板和业务负责人,提升报名转化,公众号;小红书;朋友圈;抖音,2026-05-10 20:30,线上直播,企业AI真实案例拆解；现场产出MVP需求包；提供可复用模板；第1类业务场景演示,林老师 AI产品顾问,社群接龙报名,专业可信,价格待确认需标记,C011,4
A072,新零售案例拆解会072,新零售,产品经理和项目经理,获取销售线索,公众号;朋友圈,2026-05-11 21:30,线下沙龙,新零售真实案例拆解；现场产出MVP需求包；提供可复用模板；第2类业务场景演示,陈老师 增长顾问,私信领取报名链接,年轻化种草,不得使用绝对化用语,C012,3
A073,财务数字化私享会073,财务数字化,财务负责人,邀请试用体验,小红书;抖音,2026-05-12 19:30,线上直播 + 课后实操,财务数字化真实案例拆解；现场产出MVP需求包；提供可复用模板；第3类业务场景演示,周老师 财务数字化顾问,扫码填写报名表,直接有行动号召,避免夸大收益,C001,3
A074,HR招聘工作坊074,HR招聘,销售管理者,促进社群活跃,公众号;小红书;朋友圈,2026-05-13 20:30,企业微信社群直播,HR招聘真实案例拆解；现场产出MVP需求包；提供可复用模板；第4类业务场景演示,顾老师 产品负责人,点击落地页预约,老板视角,不承诺录用或成交结果,C002,3
A075,产品管理线下沙龙075,产品管理,教育机构负责人,提升品牌认知,朋友圈;抖音,2026-05-14 21:30,视频号直播,产品管理真实案例拆解；现场产出MVP需求包；提供可复用模板；第5类业务场景演示,何老师 组织发展顾问,社群接龙报名,实战接地气,价格待确认需标记,C003,3
A076,客户服务新品发布会076,客户服务,企业老板和业务负责人,提升报名转化,公众号;小红书;朋友圈;抖音,2026-05-15 19:30,线上直播,客户服务真实案例拆解；现场产出MVP需求包；提供可复用模板；第1类业务场景演示,林老师 AI产品顾问,私信领取报名链接,专业可信,不得使用绝对化用语,C004,4
A077,数据分析客户增长课077,数据分析,产品经理和项目经理,获取销售线索,公众号;朋友圈,2026-05-16 20:30,线下沙龙,数据分析真实案例拆解；现场产出MVP需求包；提供可复用模板；第2类业务场景演示,陈老师 增长顾问,扫码填写报名表,年轻化种草,避免夸大收益,C005,3
A078,智能制造公开课078,智能制造,财务负责人,邀请试用体验,小红书;抖音,2026-05-17 21:30,线上直播 + 课后实操,智能制造真实案例拆解；现场产出MVP需求包；提供可复用模板；第3类业务场景演示,周老师 财务数字化顾问,点击落地页预约,直接有行动号召,不承诺录用或成交结果,C006,3
A079,教育培训训练营079,教育培训,销售管理者,促进社群活跃,公众号;小红书;朋友圈,2026-05-18 19:30,企业微信社群直播,教育培训真实案例拆解；现场产出MVP需求包；提供可复用模板；第4类业务场景演示,顾老师 产品负责人,社群接龙报名,老板视角,价格待确认需标记,C007,3
A080,SaaS增长行业报告解读080,SaaS增长,教育机构负责人,提升品牌认知,朋友圈;抖音,2026-05-19 20:30,视频号直播,SaaS增长真实案例拆解；现场产出MVP需求包；提供可复用模板；第5类业务场景演示,何老师 组织发展顾问,私信领取报名链接,实战接地气,不得使用绝对化用语,C008,3
A081,企业AI实战营081,企业AI,企业老板和业务负责人,提升报名转化,公众号;小红书;朋友圈;抖音,2026-05-20 21:30,线上直播,企业AI真实案例拆解；现场产出MVP需求包；提供可复用模板；第1类业务场景演示,林老师 AI产品顾问,扫码填写报名表,专业可信,避免夸大收益,C009,4
A082,新零售案例拆解会082,新零售,产品经理和项目经理,获取销售线索,公众号;朋友圈,2026-05-21 19:30,线下沙龙,新零售真实案例拆解；现场产出MVP需求包；提供可复用模板；第2类业务场景演示,陈老师 增长顾问,点击落地页预约,年轻化种草,不承诺录用或成交结果,C010,3
A083,财务数字化私享会083,财务数字化,财务负责人,邀请试用体验,小红书;抖音,2026-05-22 20:30,线上直播 + 课后实操,财务数字化真实案例拆解；现场产出MVP需求包；提供可复用模板；第3类业务场景演示,周老师 财务数字化顾问,社群接龙报名,直接有行动号召,价格待确认需标记,C011,3
A084,HR招聘工作坊084,HR招聘,销售管理者,促进社群活跃,公众号;小红书;朋友圈,2026-05-23 21:30,企业微信社群直播,HR招聘真实案例拆解；现场产出MVP需求包；提供可复用模板；第4类业务场景演示,顾老师 产品负责人,私信领取报名链接,老板视角,不得使用绝对化用语,C012,3
A085,产品管理线下沙龙085,产品管理,教育机构负责人,提升品牌认知,朋友圈;抖音,2026-05-24 19:30,视频号直播,产品管理真实案例拆解；现场产出MVP需求包；提供可复用模板；第5类业务场景演示,何老师 组织发展顾问,扫码填写报名表,实战接地气,避免夸大收益,C001,3
A086,客户服务新品发布会086,客户服务,企业老板和业务负责人,提升报名转化,公众号;小红书;朋友圈;抖音,2026-05-25 20:30,线上直播,客户服务真实案例拆解；现场产出MVP需求包；提供可复用模板；第1类业务场景演示,林老师 AI产品顾问,点击落地页预约,专业可信,不承诺录用或成交结果,C002,4
A087,数据分析客户增长课087,数据分析,产品经理和项目经理,获取销售线索,公众号;朋友圈,2026-05-26 21:30,线下沙龙,数据分析真实案例拆解；现场产出MVP需求包；提供可复用模板；第2类业务场景演示,陈老师 增长顾问,社群接龙报名,年轻化种草,价格待确认需标记,C003,3
A088,智能制造公开课088,智能制造,财务负责人,邀请试用体验,小红书;抖音,2026-05-27 19:30,线上直播 + 课后实操,智能制造真实案例拆解；现场产出MVP需求包；提供可复用模板；第3类业务场景演示,周老师 财务数字化顾问,私信领取报名链接,直接有行动号召,不得使用绝对化用语,C004,3
A089,教育培训训练营089,教育培训,销售管理者,促进社群活跃,公众号;小红书;朋友圈,2026-05-28 20:30,企业微信社群直播,教育培训真实案例拆解；现场产出MVP需求包；提供可复用模板；第4类业务场景演示,顾老师 产品负责人,扫码填写报名表,老板视角,避免夸大收益,C005,3
A090,SaaS增长行业报告解读090,SaaS增长,教育机构负责人,提升品牌认知,朋友圈;抖音,2026-05-29 21:30,视频号直播,SaaS增长真实案例拆解；现场产出MVP需求包；提供可复用模板；第5类业务场景演示,何老师 组织发展顾问,点击落地页预约,实战接地气,不承诺录用或成交结果,C006,3
A091,企业AI实战营091,企业AI,企业老板和业务负责人,提升报名转化,公众号;小红书;朋友圈;抖音,2026-05-30 19:30,线上直播,企业AI真实案例拆解；现场产出MVP需求包；提供可复用模板；第1类业务场景演示,林老师 AI产品顾问,社群接龙报名,专业可信,价格待确认需标记,C007,4
A092,新零售案例拆解会092,新零售,产品经理和项目经理,获取销售线索,公众号;朋友圈,2026-05-31 20:30,线下沙龙,新零售真实案例拆解；现场产出MVP需求包；提供可复用模板；第2类业务场景演示,陈老师 增长顾问,私信领取报名链接,年轻化种草,不得使用绝对化用语,C008,3
A093,财务数字化私享会093,财务数字化,财务负责人,邀请试用体验,小红书;抖音,2026-06-01 21:30,线上直播 + 课后实操,财务数字化真实案例拆解；现场产出MVP需求包；提供可复用模板；第3类业务场景演示,周老师 财务数字化顾问,扫码填写报名表,直接有行动号召,避免夸大收益,C009,3
